title,group,pages,reading_level,downloaded_on,original_url,original_fields,new_url,standardized_fields,jurisdiction
"Order to Release Escrow, Landlord-Tenant/Land Contract",LTLC forms,1.0,20.0,2021-11-11,https://www.courts.michigan.gov/4a28c1/siteassets/forms/scao-approved/dc110.pdf,"['disno', 'caseno', 'judge', 'address', 'telno', 'paddress', 'paaddress', 'daddress', 'daaddress', 'odate', 'odate1', 'Text1', 'Text2']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf8cae33461775aaa4ef538b45e7d4871c4b56ad1b8731fe9e57fc483d.pdf,"['disno', '*docket_number', 'judge', '*users1_address_line_one', 'telno', 'paddress', 'paaddress', 'daddress', 'daaddress', 'odate__1', 'odate__2', 'text__1', 'text__2']",MI
"Request and Order of Eviction After Conditional Dismissal, Landlord-Tenant/Land Contract",LTLC forms,2.0,15.0,2021-11-11,https://www.courts.michigan.gov/4a287e/siteassets/forms/scao-approved/dc107a.pdf,"['STATE OF MICHIGAN JUDICIAL DISTRICT', 'Plaintiffs name address and telephone no', 'Defendants name address and telephone no', 'Plaintiffs attorney bar no address and telephone no', 'Defendants attorney bar no address and telephone no', 'Date', 'Date_2', 'Date_3', 'Names', 'Date_4', 'Deputy SheriffCourt officerBailiff', 'Service fee', 'TOTAL FEE', 'Judge', 'Text2', 'Text3', 'Text4', 'CASE NO', 'Text5', 'Text6', 'Text7', 'Text8', 'Text9']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf2aaf8077c61cd49e852a2734abf0e04acec89d47142f66733188320f.pdf,"['state_judicial_district', 'name_address_telephone__1', 'name_address_telephone__2', 'plaintiffs_attorney_address', 'attorney_address_telephone', '*signature_date__1', '*signature_date__2', '*signature_date__3', 'names', '*signature_date__4', 'deputy_sheriff_officer', 'service_fee', 'total_fee', 'judge', 'text__1', 'text__2', 'text__3', '*docket_number', 'text__4', 'text__5', 'text__6', 'text__7', 'text__8']",MI
"Summons, Landlord-Tenant/Land Contract",LTLC forms,3.0,11.0,2021-11-11,https://www.courts.michigan.gov/4a23fe/siteassets/forms/scao-approved/dc104.pdf,"['original and all copies to the court clerk', 'by registered or certified mail copy of return receipt attached', 'personally', 'by delivery to a member of the defendants or defendants household who was of suitable age who was', 'DefendantsHousehold members name', 'Date and time of service', 'Place or address of service', 'Attachments', 'Attempts at personal service provide attempts if service was by secure attachment', 'undefined_3', 'Service fee', 'Name type or print', 'TOTAL FEE', 'Title if applicable', 'Date', 'undefined_4', 'Name type or print_2', 'undefined_5', 'Acting in the County of', 'undefined_6', 'This notarial act was performed using an electronic notarization system or a remote electronic notarization platform', 'undefined_7', 'Attachments_2', 'Date and time', 'on behalf of', 'STATE OF MICHIGAN JUDICIAL DISTRICT COUNTY', 'is not', 'Text1', 'Text4', 'Plaintiffs name address and telephone no', 'Defendants name address and telephone no', 'Address or description of premises', 'at the address above', 'is', 'CASE NO', 'Judge', 'Text3', 'Plaintiffs attorney bar no address and telephone no', 'Rental unit eviction', 'Land contract forfeiture', 'to recover possession after land contract forfeiture of', 'a money judgment for', 'to evict you from', 'Day date and time', 'at', 'Location', 'undefined', 'Text6', 'Text7', 'Text8', 'Text9', 'Text10', 'Text11', 'Text12', 'Text13', 'Text5', 'textbox100', 'after diligent attempts at personal service by securely attaching the papers to the main entrance of the tenants', 'checkbox200', 'checkbox100']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf2234acb9798e0be63a3708ed1b6901a7aef1853cabfc05036ebb49a0.pdf,"['original_copies_court_clerk', 'mail_copy_receipt', 'personally', 'household_suitable_age', 'defendants_members_name', 'date_time_service', 'place_address_service', 'attachments__1', 'personal_provide_secure', 'undefined__1', 'service_fee', 'name_type_print__1', 'total_fee', 'title_applicable', '*signature_date', 'undefined__2', 'name_type_print__2', 'undefined__3', 'acting_county', 'undefined__4', 'using_electronic_system', 'undefined__5', 'attachments__2', 'date_time', 'behalf', 'state_district_county', 'is_not', 'text__1', 'text__2', 'name_address_telephone__1', 'name_address_telephone__2', 'address_description_premises', 'address', 'is', '*docket_number', 'judge', 'text__3', 'plaintiffs_attorney_address', 'rental_unit_eviction', 'land_contract_forfeiture', 'possession_land_forfeiture', 'money_judgment', 'evict', 'day_date_time', 'at', 'location', 'undefined__6', 'text__4', 'text__5', 'text__6', 'text__7', 'text__8', 'text__9', 'text__10', 'text__11', 'text__12', 'textbox', 'personal_service_main', 'checkbox__1', 'checkbox__2']",MI
Verification of Compliance with CARES Act,LTLC forms,2.0,15.0,2021-11-11,https://www.courts.michigan.gov/4a2512/siteassets/forms/scao-approved/dc504.pdf,"['STATE OF MICHIGAN JUDICIAL DISTRICT', 'Plaintiffs name address and telephone no', 'Defendants name address and telephone no', 'Plaintiffs attorney bar no address and telephone no', 'Defendants attorney bar no address and telephone no', '1 I am seeking to recover possession of the following described premises', 'a The property is not a covered dwelling and is therefore exempt from the restriction on legal actions to recover', 'b The property is a covered dwelling but is exempt from the restriction on legal actions to recover possession under', 'undefined', '3 Must be checked if item 2b is checked The amount requested does not include fees penalties or other charges related to', 'Date', 'CASE NO', 'Judge', 'Text2', 'Text3', 'Text4', 'Text5', 'Text6']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdfa9ada9d6ac8644a61db504d368fe43360707d81bdd02780f3a41d7dc.pdf,"['state_judicial_district', 'name_address_telephone__1', 'name_address_telephone__2', 'plaintiffs_attorney_address', 'attorney_address_telephone', 'possession_following_described', 'property_therefore_legal', 'property_exempt_legal', 'undefined', 'must_amount_requested_fees', '*signature_date', '*docket_number', 'judge', 'text__1', 'text__2', 'text__3', 'text__4', 'text__5']",MI
Addendum A to Verified Declaration About Paternity (Father's Name and Whereabouts Known),adoptions court forms,1.0,6.0,2021-11-11,https://www.courts.michigan.gov/49c512/siteassets/forms/scao-approved/pca356a.pdf,"['STATE OF MICHIGAN JUDICIAL CIRCUIT  FAMILY DIVISION COUNTY', 'FILE NO', 'Full legal name', 'Date of birth', 'Physical description', 'Address', 'Telephone no', 'Email address', '2 Why do you believe this man to be a possible father of the child 1', '2 Why do you believe this man to be a possible father of the child 2', '2 Why do you believe this man to be a possible father of the child 3', '3 Write a brief history of your relationship with the father 1', '3 Write a brief history of your relationship with the father 2', '3 Write a brief history of your relationship with the father 3', '3 Write a brief history of your relationship with the father 4', '3 Write a brief history of your relationship with the father 5', '4 State the approximate date and place of conception', 'Text1', 'Check Box2', 'Check Box3', 'Check Box4', 'Check Box5', 'Check Box6', 'Check Box7', 'Check Box8', 'Check Box9']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf5ecf4c2613bcd05ec6a832e6aa3d17b5112ecbb15167926f42503a3e.pdf,"['state_judicial_county', '*docket_number', '*users1_name', '*users1_birthdate', 'physical_description', '*users1_address_line_one', 'telephone', 'email_address', 'believe_man_father_child__1', 'believe_man_father_child__2', 'believe_man_father_child__3', 'brief_history_relationship__1', 'brief_history_relationship__2', 'brief_history_relationship__3', 'brief_history_relationship__4', 'brief_history_relationship__5', 'state_date_place', 'text', 'check_box__1', 'check_box__2', 'check_box__3', 'check_box__4', 'check_box__5', 'check_box__6', 'check_box__7', 'check_box__8']",MI
"Addendum B to Verified Declaration About Paternity (Father's Name Known, but Whereabouts Unknown)",adoptions court forms,1.0,6.0,2021-11-11,https://www.courts.michigan.gov/4a278e/siteassets/forms/scao-approved/pca356b.pdf,"['STATE OF MICHIGAN JUDICIAL CIRCUIT  FAMILY DIVISION COUNTY', 'FILE NO', 'Full legal name', 'Date of birth', 'Physical description', 'Address', 'Telephone no', 'Email address', 'Any other information you can provide that may lead to the fathers whereabouts For example Facebookother social media site employer school', 'Names and addresses of friends or family members', '2 Why do you believe this man to be a possible father of the child 1', '2 Why do you believe this man to be a possible father of the child 2', '3 Write a brief history of your relationship with the father 1', '3 Write a brief history of your relationship with the father 2', '3 Write a brief history of your relationship with the father 3', '3 Write a brief history of your relationship with the father 4', '4 State the approximate date and place of conception', 'have taken to attempt to locate or contact him 1', 'have taken to attempt to locate or contact him 2', 'have taken to attempt to locate or contact him 3', 'Text1', 'Check Box2', 'Check Box3', 'Check Box4', 'Check Box5', 'Check Box6', 'Check Box7', 'Check Box8', 'Check Box9']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf95ceb9e5b49b4b9c5979bea4ecdd15a9c9fc103e13c65da5d2569a15.pdf,"['state_judicial_county', '*docket_number', '*users1_name', '*users1_birthdate', 'physical_description', '*users1_address_line_one', 'telephone', 'email_address', 'information_provide_may', 'friends_family_members', 'believe_man_father_child__1', 'believe_man_father_child__2', 'brief_history_relationship__1', 'brief_history_relationship__2', 'brief_history_relationship__3', 'brief_history_relationship__4', 'state_date_place', 'taken_attempt_locate_contact__1', 'taken_attempt_locate_contact__2', 'taken_attempt_locate_contact__3', 'text', 'check_box__1', 'check_box__2', 'check_box__3', 'check_box__4', 'check_box__5', 'check_box__6', 'check_box__7', 'check_box__8']",MI
Addendum C to Verified Declaration About Paternity (Father's Name and Whereabouts Unknown),adoptions court forms,1.0,7.0,2021-11-11,https://www.courts.michigan.gov/49c593/siteassets/forms/scao-approved/pca356c.pdf,"['STATE OF MICHIGAN JUDICIAL CIRCUIT  FAMILY DIVISION COUNTY', 'FILE NO', 'First name nickname or street name', 'Date of birth or approximate age', 'Physical description', 'Any other information you can provide that may lead to the fathers whereabouts For example Facebookother social media employer school', 'Names and addresses of friends or family members', '2 Why do you believe this man to be a possible father of the child 1', '2 Why do you believe this man to be a possible father of the child 2', '3 Write a brief history of your relationship with the father 1', '3 Write a brief history of your relationship with the father 2', '3 Write a brief history of your relationship with the father 3', '4 State the approximate date and place of conception', 'on your behalf have taken to attempt to identify locate or contact him 1', 'on your behalf have taken to attempt to identify locate or contact him 2', 'on your behalf have taken to attempt to identify locate or contact him 3', 'on your behalf have taken to attempt to identify locate or contact him 4', 'on your behalf have taken to attempt to identify locate or contact him 5', 'Text1', 'Check Box2', 'Check Box3', 'Check Box4', 'Check Box5', 'Check Box6', 'Check Box7']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf1f353b38e50e5fe17b35c3699f6105401aa0bce0f43ba18072eb24fc.pdf,"['state_judicial_county', '*docket_number', 'first_name_nickname_street', 'date_birth_approximate_age', 'physical_description', 'provide_may_example', 'friends_family_members', 'believe_man_father_child__1', 'believe_man_father_child__2', 'brief_history_relationship__1', 'brief_history_relationship__2', 'brief_history_relationship__3', 'state_date_place', 'attempt_identify_locate__1', 'attempt_identify_locate__2', 'attempt_identify_locate__3', 'attempt_identify_locate__4', 'attempt_identify_locate__5', 'text', 'check_box__1', 'check_box__2', 'check_box__3', 'check_box__4', 'check_box__5', 'check_box__6']",MI
Advice of Rights after Order Terminating Parental Rights (Adoption Code),adoptions court forms,1.0,12.0,2021-11-11,https://www.courts.michigan.gov/498c9b/siteassets/forms/scao-approved/pca323.pdf,"['STATE OF MICHIGAN JUDICIAL CIRCUIT  FAMILY DIVISION COUNTY', 'FILE NO', 'In the matter of', 'DOB', '1 On', 'Text1']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdfcf1e83e75cf6c4e23b7d45dffa8eba443dba6de9b3970bc6a81f22a0.pdf,"['state_judicial_county', '*docket_number', 'matter', '*users1_birthdate', '1_on', 'text']",MI
Advice of Rights After Order Terminating Parental Rights to Indian Child (Adoption Code),adoptions court forms,1.0,13.0,2021-11-11,https://www.courts.michigan.gov/498c8c/siteassets/forms/scao-approved/pca323i.pdf,"['STATE OF MICHIGAN JUDICIAL CIRCUIT  FAMILY DIVISION COUNTY', 'FILE NO', 'In the matter of', 'DOB', '1 On', 'Text1']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf69eaa12bb45ed4d691fefa97f311875bfc88f7800565cc135fa90103.pdf,"['state_judicial_county', '*docket_number', 'matter', '*users1_birthdate', '1_on', 'text']",MI
Certificate of Adoptive Information,adoptions court forms,1.0,,2021-11-11,https://www.courts.michigan.gov/49a1dc/siteassets/forms/scao-approved/pca328.pdf,"['STATE OF MICHIGAN JUDICIAL CIRCUIT  FAMILY DIVISION COUNTY', 'FILE NO', 'Full name of child', 'DOB', 'undefined', 'Name of biological father type or print', 'Name of biological mother type or print', 'Address', 'Address_2', 'City state and zip', 'City state and zip_2', 'Name of adoptive parent type or print', 'Name of adoptive parent type or print_2', 'Address_3', 'Address_4', 'City state and zip_3', 'City state and zip_4', 'Name of agency representative type or print', 'Address_5', 'Agency name', 'City state zip', 'Telephone no', 'Email', 'Date', 'Name type or print', 'Adoption decree attached', 'Statement of Identifying Information attached', 'Request for Confidentiality attached', 'Text1']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf3246e46961257051a98fa37b009e9707bc5768944335ec9f0e95aa0c.pdf,"['state_judicial_county', '*docket_number', 'full_name_child', '*users1_birthdate', 'undefined', 'name_father_type_print', 'name_mother_type_print', '*users1_address_line_one', 'address__1', 'city_state_zip__1', 'city_state_zip__2', 'name_adoptive_parent_type__1', 'name_adoptive_parent_type__2', 'address__2', 'address__3', 'city_state_zip__3', 'city_state_zip__4', 'name_representative_type', 'address__4', 'agency_name', '*users1_address_line_two', 'telephone', 'email', '*signature_date', 'name_type_print', 'adoption_decree_attached', 'identifying_information', 'request_confidentiality', 'text']",MI
Clerk's Report to Prosecuting Attorney,adoptions court forms,1.0,65.0,2021-11-11,https://www.courts.michigan.gov/4a20f7/siteassets/forms/scao-approved/pca334.pdf,"['cirno', 'county', 'caseno', 'casename', 'dob', 'date']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf878067c8cd630f2c6bae56fe391a2b4d4a91ccd87f01f489f8d32b44.pdf,"['cirno', 'county', '*docket_number', 'casename', '*users1_birthdate', '*signature_date']",MI
Consent by Parent to Adoption of Indian Child,adoptions court forms,2.0,,2021-11-11,https://www.courts.michigan.gov/4a7c71/siteassets/forms/scao-approved/pca308i.pdf,"['STATE OF MICHIGAN JUDICIAL CIRCUIT  FAMILY DIVISION COUNTY', 'Full name of child', 'Name of tribe and identification no if one', 'Name', 'mother', 'father', 'undefined', 'undefined_2', 'Date', 'Place', 'a the petitioners who filed a petition for the adoption of my child and whose names isare unknown because identifying', 'b', 'Names of petitioners', 'Name and address of person or entity that will arrange the preadoptive or adoptive placement', 'Date_2', 'Parent name type or print', 'Address', 'The parent signing this consent is an unemancipated minor  I am the', 'parent', 'guardian Copy of letters of authority attached', 'guardian ad litem Copy of order attached', 'Date_3', 'Address_2', 'Page', 'of', 'Text1', 'FILE NO']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdfeb803c55947c496d6ec29b2a930bfcfdf8221348d6b83d0b10b7aa27.pdf,"['state_judicial_county', 'full_name_child', 'name_identification_one', '*users1_name', 'mother', 'father', 'undefined__1', 'undefined__2', '*signature_date__1', 'place', 'petition_child_whose', 'b', 'names_petitioners', 'name_address_person', '*signature_date__2', 'parent_name_type_print', '*users1_address_line_one', 'parent_signing_consent', 'parent', 'copy_letters_authority', 'guardian_ad_copy_order', '*signature_date__3', 'address', 'page', 'of', 'text', '*docket_number']",MI
Consent to Adoption by Adoptee,adoptions court forms,1.0,21.0,2021-11-11,https://www.courts.michigan.gov/4a228e/siteassets/forms/scao-approved/pca307.pdf,"['cirno', 'county', 'fileno', 'casename', 'dob', 'apname1', 'adname', 'city', 'address', 'adoptee name type or print', 'apname2', 'text100']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf011eafd5f4867f668fb51239141443c6ae5f20c453826cd898ce91cd.pdf,"['cirno', 'county', '*docket_number', 'casename', '*users1_birthdate', 'apname__1', 'adname', '*users1_address_city', '*users1_address_line_one', 'adoptee_name_type_print', 'apname__2', 'text']",MI
Consent to Adoption by Agency/Court,adoptions court forms,1.0,19.0,2021-11-11,https://www.courts.michigan.gov/4a23d8/siteassets/forms/scao-approved/pca309.pdf,"['cirno', 'county', 'fileno', 'casename', 'dob', 'rname', 'agency', 'apname1', 'apname2', 'cdate', 'title']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf1d3b26ac1f8985cf731d43818b1dd89f38634008adc85787b6611268.pdf,"['cirno', 'county', '*docket_number', 'casename', '*users1_birthdate', 'rname', 'agency', 'apname__1', 'apname__2', 'cdate', 'title']",MI
Consent to Adoption by Guardian,adoptions court forms,2.0,19.0,2021-11-11,https://www.courts.michigan.gov/4a2341/siteassets/forms/scao-approved/pca308a.pdf,"['cirno', 'county', 'fileno', 'casename', 'name', 'child', 'parent', 'name1', 'dob', 'birthplace', 'court', 'item3a', 'item3b', 'item3bi', 'item3bii', 'petitioner', 'item6a', 'item6b', 'rdate', 'address', 'guardian name type or print']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdfbbd5576e5e3c814d1d167e0ab2f69cf24ef4dd1a2aa2a5d9bee6dd1b.pdf,"['cirno', 'county', '*docket_number', 'casename', '*users1_name', 'child', 'parent', 'name', '*users1_birthdate', 'birthplace', 'court', 'item__1', 'item_b__1', 'item_bi', 'item_bii', 'petitioner', 'item__2', 'item_b__2', 'rdate', '*users1_address_line_one', 'guardian_name_type_print']",MI
Consent to Adoption by Parent,adoptions court forms,2.0,22.0,2021-11-11,https://www.courts.michigan.gov/4a22bb/siteassets/forms/scao-approved/pca308.pdf,"['cirno', 'county', 'fileno', 'casename', 'name', 'mother', 'mdob', 'father', 'fdob', 'dob', 'birthplace', 'item2a', 'item2b', 'namepetitioner', 'rdate', 'minor', 'parent', 'guardian', 'gal', 'jdate', 'paddress', 'address', 'parent name type or print']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf8ea009eb02b9bd40803f70120df4862f0cbcb15fe95cb78798b62608.pdf,"['cirno', 'county', '*docket_number', 'casename', '*users1_name', 'mother', 'mdob', 'father', 'fdob', '*users1_birthdate', 'birthplace', 'item', 'item_b', 'namepetitioner', 'rdate', 'minor', 'parent', 'guardian', 'gal', 'jdate', 'paddress', '*users1_address_line_one', 'parent_name_type_print']",MI
Declaration of Inability to Identify/Locate Father,adoptions court forms,1.0,21.0,2021-11-11,https://www.courts.michigan.gov/4a201d/siteassets/forms/scao-approved/pca315.pdf,"['cirno', 'county', 'fileno', 'casename', 'dob', 'birthplace', 'fatheris', 'fathername', 'fathernot', 'reasons1', 'sdate', 'aname', 'abarno', 'aaddress', 'acity', 'atelno', 'pname', 'paddress', 'pcity', 'ptelno', 'reasons2', 'reasons3', 'reasons100']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf421488d6d91ff4afe18289707750dc88d156239b5f45ae979dc2346b.pdf,"['cirno', 'county', '*docket_number', 'casename', '*users1_birthdate', 'birthplace', 'fatheris', 'fathername', 'fathernot', 'reasons__1', 'sdate', 'aname', 'abarno', 'aaddress', 'acity', 'atelno', 'pname', 'paddress', 'pcity', 'ptelno', 'reasons__2', 'reasons__3', 'reasons__4']",MI
Ex Parte Petition to Issue Notice of Intent to Release or Consent,adoptions court forms,1.0,10.0,2021-11-11,https://www.courts.michigan.gov/49893c/siteassets/forms/scao-approved/pca313.pdf,"['STATE OF MICHIGAN JUDICIAL CIRCUIT  FAMILY DIVISION COUNTY', 'FILE NO', 'Petitioner', 'Date', 'Location including city county and state', 'Name type or print', 'Address', 'City', 'State', 'Zip', 'Date_2', 'Attorney name type or print', 'Bar no', 'Name type or print_2', 'Address_2', 'Address_3', 'City state zip', 'Telephone no', 'City state zip_2', 'Telephone no_2', 'Text1']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdfc3b9d6160ccb95f9e7334352183629abd059ae13cb41a30774374ddd.pdf,"['state_judicial_county', '*docket_number', 'petitioner', '*signature_date__1', 'city_county_state', 'name_type_print__1', '*users1_address_line_one', '*users1_address_city', '*users1_address_state', '*users1_address_zip', '*signature_date__2', 'attorney_name_type_print', 'bar', 'name_type_print__2', 'address__1', 'address__2', '*users1_address_line_two', 'telephone__1', 'city_state_zip', 'telephone__2', 'text']",MI
Final Order Allowing Fees and Costs,adoptions court forms,1.0,29.0,2021-11-11,https://www.courts.michigan.gov/4a2255/siteassets/forms/scao-approved/pca341.pdf,"['cirno', 'county', 'caseno', 'casename', 'dob', 'hdate', 'judge', 'jbarno', 'item4', 'item5', 'describe1', 'describe2', 'describe3', 'payments', 'odate', 'item6', 'checkbox2', 'checkbox1', 'checkbox3']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf3c8dd5e62203ce8efe9146763e93f920bed6da92613dc989505e131d.pdf,"['cirno', 'county', '*docket_number', 'casename', '*users1_birthdate', 'hdate', 'judge', 'jbarno', 'item__1', 'item__2', 'describe__1', 'describe__2', 'describe__3', 'payments', 'odate', 'item__3', 'checkbox__1', 'checkbox__2', 'checkbox__3']",MI
Follow-up Report after Temporary Placement of Child for Adoption,adoptions court forms,1.0,48.0,2021-11-11,https://www.courts.michigan.gov/4a201b/siteassets/forms/scao-approved/pca333.pdf,"['cirno', 'county', 'caseno', 'casename', 'dob', 'tdate', 'adparents', 'county1', 'adaddress', 'parents', 'address', 'county2', 'parents1', 'frdate1', 'aname', 'barno', 'firm', 'aaddress', 'acity', 'atelno', 'frdate2', 'name', 'agname', 'agaddress', 'agcity', 'agtelno', 'Check Box2', 'Check Box3', 'Check Box4', 'Check Box5', 'Check Box6', 'Check Box1', 'Check Box7']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdfb21d484a1d332986533ea694f8d5f514c3b651384147a6eb8a0760a7.pdf,"['cirno', 'county__1', '*docket_number', 'casename', '*users1_birthdate', 'tdate', 'adparents', 'county__2', 'adaddress', 'parents__1', '*users1_address_line_one', 'county__3', 'parents__2', 'frdate__1', 'aname', 'barno', 'firm', 'aaddress', 'acity', 'atelno', 'frdate__2', '*users1_name', 'agname', 'agaddress', 'agcity', 'agtelno', 'check_box__1', 'check_box__2', 'check_box__3', 'check_box__4', 'check_box__5', 'check_box__6', 'check_box__7']",MI
Notice of Adoption Proceedings Concerning an Indian Child,adoptions court forms,1.0,10.0,2021-11-11,https://www.courts.michigan.gov/4a7e31/siteassets/forms/scao-approved/pca352.pdf,"['STATE OF MICHIGAN JUDICIAL CIRCUIT  FAMILY DIVISION COUNTY', 'In the matter of', 'petition for adoption', 'petition for direct placement adoption', 'right to petition the court to have this case transferred to the tribal court of the', 'Text1', 'CASE NO', 'Judge', 'Text3', 'Text4', 'Text5', 'Text6', 'Text7']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdffd51d48e893aee94f35f4b87f980d37af6f3cf198c971f5ef9d4c5a7.pdf,"['state_judicial_county', 'matter', 'petition_adoption', 'direct_placement_adoption', 'petition_court_case', 'text__1', '*docket_number', 'judge', 'text__2', 'text__3', 'text__4', 'text__5', 'text__6']",MI
Notice of Hearing to Identify Father and Determine or Terminate His Rights,adoptions court forms,1.0,22.0,2021-11-11,https://www.courts.michigan.gov/49a09e/siteassets/forms/scao-approved/pca311.pdf,"['STATE OF MICHIGAN JUDICIAL CIRCUIT  FAMILY DIVISION COUNTY', 'FILE NO', 'adoptee', 'adoptee is an Indian child', 'Date', 'Time', 'courtroom', 'Building', 'Name', 'Title', 'Date_2', 'City county and state', 'Mothers name', 'signed or intends to sign a release or consent permanently giving up her parental rights to the child', 'joined with her spouse in a petition for adoption', 'Date_3', 'Attorney name and bar noAgencyMichigan Department of Health and Human Services', 'Address_2', 'City state zip', 'Text1', 'Text2', 'Text3']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf4414f06980a19515b931c7c8a0d731fd08b0fd3ae19eeccaa5eb6411.pdf,"['state_judicial_county', '*docket_number', 'adoptee', 'adoptee_indian_child', '*signature_date__1', 'time', 'courtroom', 'building', '*users1_name', 'title', '*signature_date__2', 'city_county_state', 'mothers_name', 'sign_consent_rights', 'spouse_petition_adoption', '*signature_date__3', 'agency_department_health', 'address', '*users1_address_line_two', 'text__1', 'text__2', 'text__3']",MI
"Notice of Hearing, Termination of Parental Rights",adoptions court forms,1.0,24.0,2021-11-11,https://www.courts.michigan.gov/4a253f/siteassets/forms/scao-approved/pca303.pdf,"['cirno', 'county', 'fileno', 'judge', 'casename', 'indian', 'addressee', 'hdate', 'htime', 'room', 'address', 'name', 'officer', 'ndate', 'aname', 'abarno', 'pname', 'aaddress', 'paddress', 'acity', 'pcity', 'atelno', 'ptelno', 'publication', 'forward', 'statement']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf850bd6c1ef2cc44fd2126c236cc70a729c92d211e50b717eee7a1437.pdf,"['cirno', 'county', '*docket_number', 'judge', 'casename', 'indian', 'addressee', 'hdate', 'htime', 'room', '*users1_address_line_one', '*users1_name', 'officer', 'ndate', 'aname', 'abarno', 'pname', 'aaddress', 'paddress', 'acity', 'pcity', 'atelno', 'ptelno', 'publication', 'forward', 'statement']",MI
Notice of Intent to Release or Consent,adoptions court forms,1.0,24.0,2021-11-11,https://www.courts.michigan.gov/4a24d2/siteassets/forms/scao-approved/pca314.pdf,"['cirno', 'county', 'fileno', 'pname', 'addressee', 'cdate', 'location', 'bdate', 'ndate', 'servdate', 'servtime', 'servlocation', 'servname', 'examdate']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdfa73e7a8f23c2be13e052c18bcd0835f58207d14b57b61f4b147708c2.pdf,"['cirno', 'county', '*docket_number', 'pname', 'addressee', 'cdate', 'location', 'bdate', 'ndate', 'servdate', 'servtime', 'servlocation', 'servname', 'examdate']",MI
Notice to Adopting Parents on Pending or Potential Appeal/Rehearing,adoptions court forms,1.0,75.0,2021-11-11,https://www.courts.michigan.gov/4a6ef1/siteassets/forms/scao-approved/pca325.pdf,"['cirno', 'county', 'caseno', 'casename', 'sdate', 'name', 'agency', 'Check Box1', 'checkbox3', 'checkbox4', 'checkbox2']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf4293c4dcbf878b96e9cf1648ed64cff09f63807f186c9135c89f6286.pdf,"['cirno', 'county', '*docket_number', 'casename', 'sdate', '*users1_name', 'agency', 'check_box', 'checkbox__1', 'checkbox__2', 'checkbox__3']",MI
